dose	dose_unit	IRS_per_vol	adp	atp	atp_adp	atp_ratio	dhap	f26bp	f6p	fbp	fbp_dhap	fbp_dhap_grap	g6p	glc	grap	ins_ext	lac	nad	nadh	nadh_nad	nadh_ratio	pep	pg2	pg3	phos	pyr	unit	measurement	species	study	experiment
0.0	mM	0.0012153104748549386																									mM	concentration	all	mean	Experiment0
0.8	mM	0.0019079507993715885																									mM	concentration	all	mean	Experiment0
1.0	mM	0.0020806178934438136																									mM	concentration	all	mean	Experiment0
2.0	mM	0.0029405210353585245																									mM	concentration	all	mean	Experiment0
2.4	mM	0.003282703427236959																									mM	concentration	all	mean	Experiment0
2.8	mM	0.0036237554674288424																									mM	concentration	all	mean	Experiment0
3.0	mM	0.003793833885337087																									mM	concentration	all	mean	Experiment0
4.0	mM	0.004639370428117511																									mM	concentration	all	mean	Experiment0
5.0	mM	0.005475944648437818																									mM	concentration	all	mean	Experiment0
5.5	mM	0.005890500257906056																									mM	concentration	all	mean	Experiment0
5.6	mM	0.005973093883500155																									mM	concentration	all	mean	Experiment0
6.0	mM	0.006302370531036017																									mM	concentration	all	mean	Experiment0
7.0	mM	0.00711746206065012																									mM	concentration	all	mean	Experiment0
8.0	mM	0.007920033222018145																									mM	concentration	all	mean	Experiment0
8.2	mM	0.008078940640759166																									mM	concentration	all	mean	Experiment0
8.3	mM	0.008158185789338902																									mM	concentration	all	mean	Experiment0
8.6	mM	0.008395072759731856																									mM	concentration	all	mean	Experiment0
9.0	mM	0.008708897999878106																									mM	concentration	all	mean	Experiment0
10.0	mM	0.009482870378968018																									mM	concentration	all	mean	Experiment0
11.0	mM	0.010240764344025892																									mM	concentration	all	mean	Experiment0
11.1	mM	0.01031562376617233																									mM	concentration	all	mean	Experiment0
13.9	mM	0.012336778781375225																									mM	concentration	all	mean	Experiment0
14.5	mM	0.012749652615881242																									mM	concentration	all	mean	Experiment0
15.0	mM	0.0130878357586973																									mM	concentration	all	mean	Experiment0
16.0	mM	0.013747547424665205																									mM	concentration	all	mean	Experiment0
16.7	mM	0.014195615427916471																									mM	concentration	all	mean	Experiment0
16.8	mM	0.014258673642137258																									mM	concentration	all	mean	Experiment0
19.4	mM	0.015809975071710787																									mM	concentration	all	mean	Experiment0
20.0	mM	0.016142588879877438																									mM	concentration	all	mean	Experiment0
27.7	mM	0.019428661275439095																									mM	concentration	all	mean	Experiment0
27.8	mM	0.01945805167856938																									mM	concentration	all	mean	Experiment0
28.0	mM	0.01951571561424382																									mM	concentration	all	mean	Experiment0
30.0	mM	0.020008450715597308																									mM	concentration	all	mean	Experiment0
40.0	mM	0.01989444062414174																									mM	concentration	all	mean	Experiment0
																															
0.0	mM		1.303720644980233																								mM	concentration	all	mean	Experiment1
1.0	mM		1.2677710535539963																								mM	concentration	all	mean	Experiment1
2.4	mM		1.2160135230656213																								mM	concentration	all	mean	Experiment1
3.0	mM		1.1934698209109602																								mM	concentration	all	mean	Experiment1
5.0	mM		1.1176117799941685																								mM	concentration	all	mean	Experiment1
6.0	mM		1.0797161782257383																								mM	concentration	all	mean	Experiment1
8.6	mM		0.9834486997726544																								mM	concentration	all	mean	Experiment1
10.0	mM		0.9341172991496044																								mM	concentration	all	mean	Experiment1
11.1	mM		0.8971641168046826																								mM	concentration	all	mean	Experiment1
14.5	mM		0.7967142554106449																								mM	concentration	all	mean	Experiment1
15.0	mM		0.7840982920777149																								mM	concentration	all	mean	Experiment1
16.7	mM		0.7462010644487129																								mM	concentration	all	mean	Experiment1
20.0	mM		0.6984158484096734																								mM	concentration	all	mean	Experiment1
27.8	mM		0.7663449489726268																								mM	concentration	all	mean	Experiment1
																															
0.0	mM			2.936245531221194																							mM	concentration	all	mean	Experiment2
0.343983699226288	mM			3.0694341511826106																							mM	concentration	all	mean	Experiment2
0.650377871771558	mM			3.1843845759545997																							mM	concentration	all	mean	Experiment2
1.0	mM			3.3113753520320075																							mM	concentration	all	mean	Experiment2
1.06875002246028	mM			3.335828708761559																							mM	concentration	all	mean	Experiment2
2.00597263798698	mM			3.652545306435383																							mM	concentration	all	mean	Experiment2
2.4	mM			3.7766414216345847																							mM	concentration	all	mean	Experiment2
2.8	mM			3.8972835117758495																							mM	concentration	all	mean	Experiment2
2.80390557338402	mM			3.8984352975272336																							mM	concentration	all	mean	Experiment2
3.0	mM			3.9556212830298096																							mM	concentration	all	mean	Experiment2
3.3	mM			4.040685544174503																							mM	concentration	all	mean	Experiment2
3.89263626203421	mM			4.200269560089416																							mM	concentration	all	mean	Experiment2
4.1	mM			4.253505821393406																							mM	concentration	all	mean	Experiment2
5.0	mM			4.469388647148624																							mM	concentration	all	mean	Experiment2
5.19576381127613	mM			4.513156634595485																							mM	concentration	all	mean	Experiment2
6.0	mM			4.681420259360703																							mM	concentration	all	mean	Experiment2
6.1	mM			4.701071537415623																							mM	concentration	all	mean	Experiment2
8.6	mM			5.107012034352157																							mM	concentration	all	mean	Experiment2
9.89948574940075	mM			5.258426049156682																							mM	concentration	all	mean	Experiment2
10.0	mM			5.268588574728204																							mM	concentration	all	mean	Experiment2
10.8	mM			5.341972388902296																							mM	concentration	all	mean	Experiment2
11.1	mM			5.366163268792351																							mM	concentration	all	mean	Experiment2
14.5	mM			5.528845338174357																							mM	concentration	all	mean	Experiment2
15.0	mM			5.537714950574506																							mM	concentration	all	mean	Experiment2
16.0	mM			5.545871927557855																							mM	concentration	all	mean	Experiment2
16.1	mM			5.546032768491006																							mM	concentration	all	mean	Experiment2
16.7	mM			5.54469153578963																							mM	concentration	all	mean	Experiment2
18.1	mM			5.527785142102271																							mM	concentration	all	mean	Experiment2
20.0	mM			5.480637411302097																							mM	concentration	all	mean	Experiment2
20.0860318612565	mM			5.478000270528728																							mM	concentration	all	mean	Experiment2
22.8	mM			5.382177672058864																							mM	concentration	all	mean	Experiment2
26.0	mM			5.268603644571827																							mM	concentration	all	mean	Experiment2
27.8	mM			5.223308915593244																							mM	concentration	all	mean	Experiment2
																															
0.0	mM				4.5518751431673525																						mM	concentration	all	mean	Experiment3
1.0	mM				4.8368944147733055																						mM	concentration	all	mean	Experiment3
2.4	mM				5.190140923685166																						mM	concentration	all	mean	Experiment3
3.0	mM				5.325931986544479																						mM	concentration	all	mean	Experiment3
5.0	mM				5.715300154522915																						mM	concentration	all	mean	Experiment3
6.0	mM				5.875732671387946																						mM	concentration	all	mean	Experiment3
8.6	mM				6.196910436380804																						mM	concentration	all	mean	Experiment3
10.0	mM				6.318280578135651																						mM	concentration	all	mean	Experiment3
11.1	mM				6.391238797854095																						mM	concentration	all	mean	Experiment3
14.5	mM				6.510901117360517																						mM	concentration	all	mean	Experiment3
15.0	mM				6.5170393789100025																						mM	concentration	all	mean	Experiment3
16.7	mM				6.520294006786779																						mM	concentration	all	mean	Experiment3
20.0	mM				6.4677995217504165																						mM	concentration	all	mean	Experiment3
27.8	mM				6.265957563786798																						mM	concentration	all	mean	Experiment3
																															
0.0	mM					2.753383671703492																					mM	concentration	all	mean	Experiment4
1.0	mM					3.135658068220848																					mM	concentration	all	mean	Experiment4
1.4	mM					3.2822902129597296																					mM	concentration	all	mean	Experiment4
2.8	mM					3.767532451742682																					mM	concentration	all	mean	Experiment4
3.0	mM					3.8333262971632642																					mM	concentration	all	mean	Experiment4
4.9	mM					4.414949277733237																					mM	concentration	all	mean	Experiment4
5.0	mM					4.443402042707906																					mM	concentration	all	mean	Experiment4
6.0	mM					4.716185834978047																					mM	concentration	all	mean	Experiment4
8.3	mM					5.263576311179155																					mM	concentration	all	mean	Experiment4
10.0	mM					5.597829407915907																					mM	concentration	all	mean	Experiment4
11.1	mM					5.782872097856994																					mM	concentration	all	mean	Experiment4
15.0	mM					6.246320805926658																					mM	concentration	all	mean	Experiment4
16.7	mM					6.356824893801234																					mM	concentration	all	mean	Experiment4
20.0	mM					6.418531275339323																					mM	concentration	all	mean	Experiment4
27.8	mM					5.806410530940535																					mM	concentration	all	mean	Experiment4
28.0	mM					5.777422671259085																					mM	concentration	all	mean	Experiment4
																															
2.0	mM						0.006924307955501953																				mM	concentration	all	mean	Experiment5
2.8	mM						0.009709402101675233																				mM	concentration	all	mean	Experiment5
10.0	mM						0.03246254185479889																				mM	concentration	all	mean	Experiment5
16.7	mM						0.05030798355984499																				mM	concentration	all	mean	Experiment5
20.0	mM						0.05808908629667108																				mM	concentration	all	mean	Experiment5
																															
0.0	mM							0.001238785429849528																			mM	concentration	all	mean	Experiment6
1.10526315789474	mM							0.001780380258764447																			mM	concentration	all	mean	Experiment6
1.4	mM							0.00191605071643587																			mM	concentration	all	mean	Experiment6
1.7	mM							0.002050483114138223																			mM	concentration	all	mean	Experiment6
2.76315789473684	mM							0.002498146482347876																			mM	concentration	all	mean	Experiment6
2.8	mM							0.0025128790714207764																			mM	concentration	all	mean	Experiment6
5.36842105263157	mM							0.0034211826331106074																			mM	concentration	all	mean	Experiment6
5.5	mM							0.0034618090120454763																			mM	concentration	all	mean	Experiment6
5.6	mM							0.003492326789187348																			mM	concentration	all	mean	Experiment6
8.21052631578947	mM							0.004187807729178353																			mM	concentration	all	mean	Experiment6
10.0	mM							0.004566526990269829																			mM	concentration	all	mean	Experiment6
16.7	mM							0.005536213181924548																			mM	concentration	all	mean	Experiment6
